Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Log_Volume,Daily_Range,MA_20,MA_50,Signal,Crossover,Year,Month,Day,DayOfWeek,Lag_Close
2002-10-18,28.81275023431209,29.686426609613587,28.468854984037588,28.85922241210937,512312,0.0,0.0,13.146691045361727,1.2175716255759994,28.061764240264893,29.25498462677002,0,0.0,2002,10,18,4,28.264379501342773
2002-10-21,29.537723657933544,30.29057372433784,29.18453613860188,29.305362701416016,646296,0.0,0.0,13.379014429433003,1.1060375857359581,28.09801197052002,29.250709075927734,0,0.0,2002,10,21,0,28.85922241210937
2002-10-22,29.55631451031035,29.55631451031035,28.06920434626958,28.245798110961918,229384,0.0,0.0,12.343157093570907,1.4871101640407716,28.129613399505615,29.233235511779785,0,0.0,2002,10,22,1,29.305362701416016
2002-10-23,28.440980302794905,28.77558063835056,27.9019040329378,28.11567497253418,153320,0.0,0.0,11.94028904177951,0.8736766054127614,28.14401969909668,29.253311462402344,0,0.0,2002,10,23,2,28.245798110961918
2002-10-24,28.422387167448555,28.515331537304743,27.43717911612258,27.62306785583496,168744,0.0,0.0,12.03614397866618,1.078152421182164,28.111954116821288,29.26353527069092,0,0.0,2002,10,24,3,28.11567497253418
2002-10-25,27.139754019519295,27.576593660572605,26.972455300549058,27.05610466003418,172296,0.0,0.0,12.056975010872854,0.6041383600235477,28.034345817565917,29.2637211227417,0,0.0,2002,10,25,4,27.62306785583496
2002-10-28,26.860915613040497,27.139748647085906,26.433371060216952,26.656436920166016,134504,0.0,0.0,11.809356652054257,0.7063775868689532,27.988802433013916,29.269297676086424,0,0.0,2002,10,28,0,27.05610466003418
2002-10-29,26.58209764211877,27.10258683456673,26.433386039071088,26.888813018798828,143024,0.0,0.0,11.87077471913673,0.6692007954956409,27.96649589538574,29.264836387634276,0,0.0,2002,10,29,1,26.656436920166016
2002-10-30,27.13975193421481,27.836834603758,26.953863222336626,27.34423065185547,164320,0.0,0.0,12.009577110830334,0.882971381421374,27.9669602394104,29.242901725769045,0,0.0,2002,10,30,2,26.888813018798828
2002-10-31,27.5115368808215,27.883314406238004,27.36282530336741,27.77178001403809,118928,0.0,0.0,11.686281955378533,0.5204891028705951,27.95208911895752,29.204980354309082,0,0.0,2002,10,31,3,27.34423065185547
2002-11-01,27.901909537105418,28.36663152915289,27.33494813951992,27.48365974426269,108792,0.0,0.0,11.597202273098892,1.0316833896329705,27.931641387939454,29.125606269836425,0,0.0,2002,11,1,4,27.77178001403809
2002-11-04,27.88331126383445,27.88331126383445,27.474356599252303,27.688127517700195,56560,0.0,0.0,10.943074980753622,0.40895466458214713,27.92745876312256,29.052551994323732,0,0.0,2002,11,4,0,27.48365974426269
2002-11-05,27.42789374644867,27.75319915521541,27.214119918824835,27.39071655273437,70288,0.0,0.0,11.16037059329396,0.5390792363905739,27.8707633972168,28.9891641998291,0,0.0,2002,11,5,1,27.688127517700195
2002-11-06,27.39071655273437,27.39071655273437,27.39071655273437,27.39071655273437,0,0.0,0.0,0.0,0.0,27.85031681060791,28.92521842956543,0,0.0,2002,11,6,2,27.39071655273437
2002-11-07,27.88329723057488,29.37040641620554,27.88329723057488,28.23648452758789,204880,0.0,0.0,12.230184601767391,1.4871091856306613,27.87076358795166,28.878188018798827,0,0.0,2002,11,7,3,27.39071655273437
2002-11-08,27.69742810426645,28.05991065646428,27.530129337540583,27.743900299072266,77664,0.0,0.0,11.260159984422007,0.5297813189236962,27.837304019927977,28.777994079589845,0,0.0,2002,11,8,4,28.23648452758789
2002-11-11,27.883307787836817,27.883307787836817,27.269874449217056,27.32564163208008,66568,0.0,0.0,11.105994282700339,0.6134333386197603,27.793155479431153,28.66274314880371,0,0.0,2002,11,11,0,27.743900299072266
2002-11-12,27.139754009730925,27.883308914107115,27.139754009730925,27.465059280395508,106864,0.0,0.0,11.579321634609911,0.7435549043761895,27.755977821350097,28.581323738098146,0,0.0,2002,11,12,1,27.32564163208008
2002-11-13,27.604485560602704,27.67883994268912,27.08399637668424,27.23270797729492,106264,0.0,0.0,11.573691253292791,0.5948435660048794,27.704394245147704,28.48150165557861,0,0.0,2002,11,13,2,27.465059280395508
2002-11-14,27.66024602725824,28.18073508438383,27.241996347924,27.60447883605957,211856,0.0,0.0,12.263666797755695,0.938738736459829,27.671399211883546,28.393018646240236,0,0.0,2002,11,14,3,27.23270797729492
2002-11-15,28.21791175570169,28.37591548539509,27.88331145100224,28.19932174682617,154144,0.0,0.0,11.94564899684922,0.4926040343928513,27.638404178619385,28.34022621154785,0,0.0,2002,11,15,4,27.60447883605957
2002-11-18,28.440975556365817,28.803458010875257,28.13426028788173,28.48744773864746,217672,0.0,0.0,12.29074921564496,0.6691977229935269,27.597508430480957,28.301189422607422,0,0.0,2002,11,18,0,28.19932174682617
2002-11-19,28.48744773864746,28.48744773864746,28.48744773864746,28.48744773864746,0,0.0,0.0,0.0,0.0,27.609590911865233,28.262152633666993,0,0.0,2002,11,19,1,28.48744773864746
2002-11-20,28.44098033283824,29.649257275082995,28.44098033283824,29.42619132995605,406128,0.0,0.0,12.914426122107264,1.2082769422447548,27.675116729736327,28.226461906433105,0,0.0,2002,11,20,2,28.48744773864746
2002-11-21,29.974563717842106,33.255499325096025,29.974563717842106,31.97286796569824,2664024,0.0,0.0,14.795348694982769,3.2809356072539195,27.892606735229492,28.238544960021972,0,0.0,2002,11,21,3,29.42619132995605
2002-11-22,30.77389422121292,33.59010866414875,30.77389422121292,31.48027229309082,1184016,0.0,0.0,13.98442345243112,2.8162144429358307,28.113815116882325,28.25862133026123,0,0.0,2002,11,22,4,31.97286796569824
2002-11-25,31.786970497237935,32.12157075396989,31.043415631805477,31.424488067626957,428920,0.0,0.0,12.969028031768461,1.0781551221644143,28.35221767425537,28.289478797912597,1,1.0,2002,11,25,0,31.48027229309082
2002-11-26,31.694036247000792,32.307469773907684,31.06201554439225,31.238609313964844,367496,0.0,0.0,12.814470434336403,1.2454542295154347,28.569707489013673,28.29914520263672,1,0.0,2002,11,26,1,31.424488067626957
2002-11-27,31.786966062968983,31.786966062968983,30.40209588657719,30.578689575195312,301128,0.0,0.0,12.61529402334908,1.384870176391793,28.731430435180663,28.314573707580568,1,0.0,2002,11,27,2,31.238609313964844
2002-11-28,30.87611926202541,32.51193782082028,30.866824258215612,31.82415008544922,447680,0.0,0.0,13.011836204195143,1.6451135626046671,28.93404893875122,28.359930419921874,1,0.0,2002,11,28,3,30.578689575195312
2002-11-29,31.82415008544922,31.82415008544922,31.82415008544922,31.82415008544922,0,0.0,0.0,0.0,0.0,29.151073455810547,28.414953651428224,1,0.0,2002,11,29,4,31.82415008544922
2002-12-02,33.367028057656405,36.43419219666104,33.069604945966006,35.23521041870117,1388680,0.0,0.0,14.143864933733141,3.364587250695031,29.528427600860596,28.548049697875978,1,0.0,2002,12,2,0,31.82415008544922
2002-12-03,36.06242988304488,38.98088369289025,34.779798202192275,37.25211715698242,4082608,0.0,0.0,15.222246802796729,4.201085490697977,30.021497631072997,28.740816650390624,1,0.0,2002,12,3,1,35.23521041870117
2002-12-04,36.60148855101149,38.06071616619492,35.51404121955373,36.00664520263672,2594928,0.0,0.0,14.76906971389954,2.5466749466411898,30.452294063568115,28.904398574829102,1,0.0,2002,12,4,2,37.25211715698242
2002-12-05,35.783588350767744,38.00495859278763,35.783588350767744,36.917510986328125,1720264,0.0,0.0,14.35798890668955,2.221370242019887,30.886345386505127,29.07746120452881,1,0.0,2002,12,5,3,36.00664520263672
2002-12-06,37.54953202762125,38.42320869067938,36.908216330080585,37.88413238525391,1139968,0.0,0.0,13.946511627018486,1.5149923605987965,31.39335699081421,29.262978439331054,1,0.0,2002,12,6,4,36.917510986328125
2002-12-09,37.73541076896117,38.4603756540857,35.70922482283798,36.06241226196289,975768,0.0,0.0,13.790981157054151,2.7511508312477204,31.83019552230835,29.43288059234619,1,0.0,2002,12,9,0,37.88413238525391
2002-12-10,35.411821392353566,37.549542893729246,35.15157817023971,36.8896369934082,837808,0.0,0.0,13.638545429857997,2.3979647234895367,32.30142440795898,29.62397445678711,1,0.0,2002,12,10,1,36.06241226196289
2002-12-11,37.92130018979496,40.14266990323331,37.73541146337439,38.62767791748047,3286400,0.0,0.0,15.005303603000653,2.4072584398589214,32.87117290496826,29.849829139709474,1,0.0,2002,12,11,2,36.8896369934082
2002-12-12,38.66485056729192,40.151960204495445,38.66485056729192,38.94368362426758,2568024,0.0,0.0,14.758647678947094,1.487109637203524,33.43813314437866,30.06731876373291,1,0.0,2002,12,12,3,38.62767791748047
2002-12-13,39.40841128844239,39.91031029888516,38.86933509878848,39.1016960144043,1112288,0.0,0.0,13.921930612112897,1.0409752000966748,33.983251857757566,30.291500396728516,1,0.0,2002,12,13,4,38.94368362426758
2002-12-16,39.594304753715335,39.91031506943875,37.19634095250186,37.41940689086914,1231456,0.0,0.0,14.023708579164957,2.713974116936889,34.429849815368655,30.484452934265136,1,0.0,2002,12,16,0,39.1016960144043
